Proxy,Product,Clinic_Name,Clinic_Price,Competitor,Competitor_Price,Clinic_ID
Södra Djursjukhuset Kungens Kurva,Cat Castrate,Södra Djursjukhuset Kungens Kurva,1570,Anicura Djursjukhuset Albano,0.0,201
Södra Djursjukhuset Kungens Kurva,Cat Vaccination,Södra Djursjukhuset Kungens Kurva,495,Anicura Djursjukhuset Albano,700.0,201
Södra Djursjukhuset Kungens Kurva,X-Ray & Sedation (HD),Södra Djursjukhuset Kungens Kurva,2595,Anicura Djursjukhuset Albano,0.0,201
Södra Djursjukhuset Kungens Kurva,Consultation,Södra Djursjukhuset Kungens Kurva,1775,Huddinge Djurklinik,790.0,201
Södra Djursjukhuset Kungens Kurva,Castrate Dog (20kg),Södra Djursjukhuset Kungens Kurva,7785,Huddinge Djurklinik,3500.0,201
Södra Djursjukhuset Kungens Kurva,Bitch Spay (20kg),Södra Djursjukhuset Kungens Kurva,12850,Huddinge Djurklinik,,201
Södra Djursjukhuset Kungens Kurva,Dog Vaccination DHPPI,Södra Djursjukhuset Kungens Kurva,495,Huddinge Djurklinik,,201
Södra Djursjukhuset Kungens Kurva,Cat Spay,Södra Djursjukhuset Kungens Kurva,2780,Huddinge Djurklinik,1900.0,201
Södra Djursjukhuset Kungens Kurva,Cat Castrate,Södra Djursjukhuset Kungens Kurva,1570,Huddinge Djurklinik,950.0,201
Södra Djursjukhuset Kungens Kurva,Cat Vaccination,Södra Djursjukhuset Kungens Kurva,495,Huddinge Djurklinik,,201
Södra Djursjukhuset Kungens Kurva,X-Ray & Sedation (HD),Södra Djursjukhuset Kungens Kurva,2595,Huddinge Djurklinik,,201
Djursjukhuset Göteborg,Consultation,Djursjukhuset Göteborg,1495,Anicura Västra Djursjukhuset,1520.0,305
Djursjukhuset Göteborg,Castrate Dog (20kg),Djursjukhuset Göteborg,5835,Anicura Västra Djursjukhuset,6810.0,305
Djursjukhuset Göteborg,Bitch Spay (20kg),Djursjukhuset Göteborg,9635,Anicura Västra Djursjukhuset,10090.0,305
Djursjukhuset Göteborg,Dog Vaccination DHPPI,Djursjukhuset Göteborg,495,Anicura Västra Djursjukhuset,680.0,305
Djursjukhuset Göteborg,Cat Spay,Djursjukhuset Göteborg,2090,Anicura Västra Djursjukhuset,2160.0,305
Djursjukhuset Göteborg,Cat Castrate,Djursjukhuset Göteborg,1175,Anicura Västra Djursjukhuset,1230.0,305
Djursjukhuset Göteborg,Cat Vaccination,Djursjukhuset Göteborg,495,Anicura Västra Djursjukhuset,680.0,305
Djursjukhuset Göteborg,X-Ray & Sedation (HD),Djursjukhuset Göteborg,2395,Anicura Västra Djursjukhuset,2350.0,305
Djursjukhuset Göteborg,Consultation,Djursjukhuset Göteborg,1495,Blå Stjärnans Djursjukhus AB,1400.0,305
Djursjukhuset Göteborg,Castrate Dog (20kg),Djursjukhuset Göteborg,5835,Blå Stjärnans Djursjukhus AB,6995.0,305
Djursjukhuset Göteborg,Bitch Spay (20kg),Djursjukhuset Göteborg,9635,Blå Stjärnans Djursjukhus AB,,305
Djursjukhuset Göteborg,Dog Vaccination DHPPI,Djursjukhuset Göteborg,495,Blå Stjärnans Djursjukhus AB,,305
Djursjukhuset Göteborg,Cat Spay,Djursjukhuset Göteborg,2090,Blå Stjärnans Djursjukhus AB,2125.0,305
Djursjukhuset Göteborg,Cat Castrate,Djursjukhuset Göteborg,1175,Blå Stjärnans Djursjukhus AB,1350.0,305
Djursjukhuset Göteborg,Cat Vaccination,Djursjukhuset Göteborg,495,Blå Stjärnans Djursjukhus AB,,305
Djursjukhuset Göteborg,X-Ray & Sedation (HD),Djursjukhuset Göteborg,2395,Blå Stjärnans Djursjukhus AB,,305
Specialistdjursjukhuset Strömsholm,Consultation,Specialistdjursjukhuset Strömsholm,1495,Distriktsveterinärerna Eskilstuna,965.0,200
Specialistdjursjukhuset Strömsholm,Castrate Dog (20kg),Specialistdjursjukhuset Strömsholm,5835,Distriktsveterinärerna Eskilstuna,4625.0,200
Specialistdjursjukhuset Strömsholm,Bitch Spay (20kg),Specialistdjursjukhuset Strömsholm,9635,Distriktsveterinärerna Eskilstuna,8025.0,200
Specialistdjursjukhuset Strömsholm,Dog Vaccination DHPPI,Specialistdjursjukhuset Strömsholm,495,Distriktsveterinärerna Eskilstuna,575.0,200
Specialistdjursjukhuset Strömsholm,Cat Spay,Specialistdjursjukhuset Strömsholm,2090,Distriktsveterinärerna Eskilstuna,1825.0,200
Specialistdjursjukhuset Strömsholm,Cat Castrate,Specialistdjursjukhuset Strömsholm,1175,Distriktsveterinärerna Eskilstuna,975.0,200
Specialistdjursjukhuset Strömsholm,Cat Vaccination,Specialistdjursjukhuset Strömsholm,495,Distriktsveterinärerna Eskilstuna,575.0,200
Specialistdjursjukhuset Strömsholm,X-Ray & Sedation (HD),Specialistdjursjukhuset Strömsholm,2195,Distriktsveterinärerna Eskilstuna,1995.0,200
Specialistdjursjukhuset Strömsholm,Consultation,Specialistdjursjukhuset Strömsholm,1495,Anicura Aros Veterinärcentrum,0.0,200
Specialistdjursjukhuset Strömsholm,Castrate Dog (20kg),Specialistdjursjukhuset Strömsholm,5835,Anicura Aros Veterinärcentrum,6270.0,200
Specialistdjursjukhuset Strömsholm,Bitch Spay (20kg),Specialistdjursjukhuset Strömsholm,9635,Anicura Aros Veterinärcentrum,9400.0,200
Specialistdjursjukhuset Strömsholm,Dog Vaccination DHPPI,Specialistdjursjukhuset Strömsholm,495,Anicura Aros Veterinärcentrum,500.0,200
Specialistdjursjukhuset Strömsholm,Cat Spay,Specialistdjursjukhuset Strömsholm,2090,Anicura Aros Veterinärcentrum,1920.0,200
Specialistdjursjukhuset Strömsholm,Cat Castrate,Specialistdjursjukhuset Strömsholm,1175,Anicura Aros Veterinärcentrum,1010.0,200
Specialistdjursjukhuset Strömsholm,Cat Vaccination,Specialistdjursjukhuset Strömsholm,495,Anicura Aros Veterinärcentrum,500.0,200
Specialistdjursjukhuset Strömsholm,X-Ray & Sedation (HD),Specialistdjursjukhuset Strömsholm,2195,Anicura Aros Veterinärcentrum,1910.0,200
Specialistdjursjukhuset Strömsholm,Consultation,Specialistdjursjukhuset Strömsholm,1495,AniCura Arboga Djurklinik,0.0,200
Specialistdjursjukhuset Strömsholm,Castrate Dog (20kg),Specialistdjursjukhuset Strömsholm,5835,AniCura Arboga Djurklinik,6200.0,200
Specialistdjursjukhuset Strömsholm,Bitch Spay (20kg),Specialistdjursjukhuset Strömsholm,9635,AniCura Arboga Djurklinik,9400.0,200
Specialistdjursjukhuset Strömsholm,Dog Vaccination DHPPI,Specialistdjursjukhuset Strömsholm,495,AniCura Arboga Djurklinik,550.0,200
Specialistdjursjukhuset Strömsholm,Cat Spay,Specialistdjursjukhuset Strömsholm,2090,AniCura Arboga Djurklinik,2020.0,200
Specialistdjursjukhuset Strömsholm,Cat Castrate,Specialistdjursjukhuset Strömsholm,1175,AniCura Arboga Djurklinik,1120.0,200
Specialistdjursjukhuset Strömsholm,Cat Vaccination,Specialistdjursjukhuset Strömsholm,495,AniCura Arboga Djurklinik,550.0,200
Specialistdjursjukhuset Strömsholm,X-Ray & Sedation (HD),Specialistdjursjukhuset Strömsholm,2195,AniCura Arboga Djurklinik,2170.0,200
Lunds Djursjukhus,Consultation,Lunds Djursjukhus,1495,Distriktsveterinärerna Flyinge,965.0,8080
Lunds Djursjukhus,Castrate Dog (20kg),Lunds Djursjukhus,5835,Distriktsveterinärerna Flyinge,4625.0,8080
Lunds Djursjukhus,Bitch Spay (20kg),Lunds Djursjukhus,9635,Distriktsveterinärerna Flyinge,8025.0,8080
Lunds Djursjukhus,Dog Vaccination DHPPI,Lunds Djursjukhus,495,Distriktsveterinärerna Flyinge,575.0,8080
Lunds Djursjukhus,Cat Spay,Lunds Djursjukhus,2090,Distriktsveterinärerna Flyinge,1825.0,8080
Lunds Djursjukhus,Cat Castrate,Lunds Djursjukhus,1175,Distriktsveterinärerna Flyinge,975.0,8080
Lunds Djursjukhus,Cat Vaccination,Lunds Djursjukhus,495,Distriktsveterinärerna Flyinge,575.0,8080
Lunds Djursjukhus,X-Ray & Sedation (HD),Lunds Djursjukhus,2295,Distriktsveterinärerna Flyinge,1995.0,8080
Lunds Djursjukhus,Consultation,Lunds Djursjukhus,1495,AniCura Erikslust,1000.0,8080
Lunds Djursjukhus,Castrate Dog (20kg),Lunds Djursjukhus,5835,AniCura Erikslust,4850.0,8080
Lunds Djursjukhus,Bitch Spay (20kg),Lunds Djursjukhus,9635,AniCura Erikslust,8030.0,8080
Lunds Djursjukhus,Dog Vaccination DHPPI,Lunds Djursjukhus,495,AniCura Erikslust,520.0,8080
Lunds Djursjukhus,Cat Spay,Lunds Djursjukhus,2090,AniCura Erikslust,1820.0,8080
Lunds Djursjukhus,Cat Castrate,Lunds Djursjukhus,1175,AniCura Erikslust,1010.0,8080
Lunds Djursjukhus,Cat Vaccination,Lunds Djursjukhus,495,AniCura Erikslust,520.0,8080
Lunds Djursjukhus,X-Ray & Sedation (HD),Lunds Djursjukhus,2295,AniCura Erikslust,2010.0,8080
Lunds Djursjukhus,Consultation,Lunds Djursjukhus,1495,AniCura Landskrona Smådjursklinik,1500.0,8080
Lunds Djursjukhus,Castrate Dog (20kg),Lunds Djursjukhus,5835,AniCura Landskrona Smådjursklinik,4950.0,8080
Lunds Djursjukhus,Bitch Spay (20kg),Lunds Djursjukhus,9635,AniCura Landskrona Smådjursklinik,7230.0,8080
Lunds Djursjukhus,Dog Vaccination DHPPI,Lunds Djursjukhus,495,AniCura Landskrona Smådjursklinik,550.0,8080
Lunds Djursjukhus,Cat Spay,Lunds Djursjukhus,2090,AniCura Landskrona Smådjursklinik,1670.0,8080
Lunds Djursjukhus,Cat Castrate,Lunds Djursjukhus,1175,AniCura Landskrona Smådjursklinik,1000.0,8080
Lunds Djursjukhus,Cat Vaccination,Lunds Djursjukhus,495,AniCura Landskrona Smådjursklinik,550.0,8080
Lunds Djursjukhus,X-Ray & Sedation (HD),Lunds Djursjukhus,2295,AniCura Landskrona Smådjursklinik,1810.0,8080
Lunds Djursjukhus,Consultation,Lunds Djursjukhus,1495,Cityveterinärerna i Lund AB,850.0,8080
Lunds Djursjukhus,Castrate Dog (20kg),Lunds Djursjukhus,5835,Cityveterinärerna i Lund AB,3900.0,8080
Lunds Djursjukhus,Bitch Spay (20kg),Lunds Djursjukhus,9635,Cityveterinärerna i Lund AB,,8080
Lunds Djursjukhus,Dog Vaccination DHPPI,Lunds Djursjukhus,495,Cityveterinärerna i Lund AB,,8080
Lunds Djursjukhus,Cat Spay,Lunds Djursjukhus,2090,Cityveterinärerna i Lund AB,1495.0,8080
Lunds Djursjukhus,Cat Castrate,Lunds Djursjukhus,1175,Cityveterinärerna i Lund AB,850.0,8080
Lunds Djursjukhus,Cat Vaccination,Lunds Djursjukhus,495,Cityveterinärerna i Lund AB,,8080
Lunds Djursjukhus,X-Ray & Sedation (HD),Lunds Djursjukhus,2295,Cityveterinärerna i Lund AB,,8080
Djursjukhuset Malmö,Consultation,Djursjukhuset Malmö,1495,AniCura Erikslust,1000.0,100
Djursjukhuset Malmö,Castrate Dog (20kg),Djursjukhuset Malmö,5835,AniCura Erikslust,4850.0,100
Djursjukhuset Malmö,Bitch Spay (20kg),Djursjukhuset Malmö,9635,AniCura Erikslust,8030.0,100
Djursjukhuset Malmö,Dog Vaccination DHPPI,Djursjukhuset Malmö,495,AniCura Erikslust,520.0,100
Djursjukhuset Malmö,Cat Spay,Djursjukhuset Malmö,2090,AniCura Erikslust,1820.0,100
Djursjukhuset Malmö,Cat Castrate,Djursjukhuset Malmö,1175,AniCura Erikslust,1010.0,100
Djursjukhuset Malmö,Cat Vaccination,Djursjukhuset Malmö,495,AniCura Erikslust,520.0,100
Djursjukhuset Malmö,X-Ray & Sedation (HD),Djursjukhuset Malmö,2295,AniCura Erikslust,2010.0,100
Djursjukhuset Malmö,Consultation,Djursjukhuset Malmö,1495,AniCura Landskrona Smådjursklinik,1500.0,100
Djursjukhuset Malmö,Castrate Dog (20kg),Djursjukhuset Malmö,5835,AniCura Landskrona Smådjursklinik,4950.0,100
Djursjukhuset Malmö,Bitch Spay (20kg),Djursjukhuset Malmö,9635,AniCura Landskrona Smådjursklinik,7230.0,100
Djursjukhuset Malmö,Dog Vaccination DHPPI,Djursjukhuset Malmö,495,AniCura Landskrona Smådjursklinik,550.0,100
Djursjukhuset Malmö,Cat Spay,Djursjukhuset Malmö,2090,AniCura Landskrona Smådjursklinik,1670.0,100
Djursjukhuset Malmö,Cat Castrate,Djursjukhuset Malmö,1175,AniCura Landskrona Smådjursklinik,1000.0,100
Djursjukhuset Malmö,Cat Vaccination,Djursjukhuset Malmö,495,AniCura Landskrona Smådjursklinik,550.0,100
Djursjukhuset Malmö,X-Ray & Sedation (HD),Djursjukhuset Malmö,2295,AniCura Landskrona Smådjursklinik,1810.0,100
Djursjukhuset Malmö,Consultation,Djursjukhuset Malmö,1495,Distriktsveterinärerna Flyinge,965.0,100
Djursjukhuset Malmö,Castrate Dog (20kg),Djursjukhuset Malmö,5835,Distriktsveterinärerna Flyinge,4625.0,100
Djursjukhuset Malmö,Bitch Spay (20kg),Djursjukhuset Malmö,9635,Distriktsveterinärerna Flyinge,8025.0,100
Djursjukhuset Malmö,Dog Vaccination DHPPI,Djursjukhuset Malmö,495,Distriktsveterinärerna Flyinge,575.0,100
Djursjukhuset Malmö,Cat Spay,Djursjukhuset Malmö,2090,Distriktsveterinärerna Flyinge,1825.0,100
Djursjukhuset Malmö,Cat Castrate,Djursjukhuset Malmö,1175,Distriktsveterinärerna Flyinge,975.0,100
Djursjukhuset Malmö,Cat Vaccination,Djursjukhuset Malmö,495,Distriktsveterinärerna Flyinge,575.0,100
Djursjukhuset Malmö,X-Ray & Sedation (HD),Djursjukhuset Malmö,2295,Distriktsveterinärerna Flyinge,1995.0,100
Djursjukhuset Malmö,Consultation,Djursjukhuset Malmö,1495,Arken Zoo Veterinärklinik i Malmö Toftanäs,895.0,100
Djursjukhuset Malmö,Castrate Dog (20kg),Djursjukhuset Malmö,5835,Arken Zoo Veterinärklinik i Malmö Toftanäs,,100
Djursjukhuset Malmö,Bitch Spay (20kg),Djursjukhuset Malmö,9635,Arken Zoo Veterinärklinik i Malmö Toftanäs,,100
Djursjukhuset Malmö,Dog Vaccination DHPPI,Djursjukhuset Malmö,495,Arken Zoo Veterinärklinik i Malmö Toftanäs,,100
Djursjukhuset Malmö,Cat Spay,Djursjukhuset Malmö,2090,Arken Zoo Veterinärklinik i Malmö Toftanäs,1550.0,100
Djursjukhuset Malmö,Cat Castrate,Djursjukhuset Malmö,1175,Arken Zoo Veterinärklinik i Malmö Toftanäs,895.0,100
Djursjukhuset Malmö,Cat Vaccination,Djursjukhuset Malmö,495,Arken Zoo Veterinärklinik i Malmö Toftanäs,,100
Djursjukhuset Malmö,X-Ray & Sedation (HD),Djursjukhuset Malmö,2295,Arken Zoo Veterinärklinik i Malmö Toftanäs,,100
Specialistdjursjukhuset Helsingborg,Consultation,Specialistdjursjukhuset Helsingborg,1495,AniCura Landskrona Smådjursklinik,1500.0,101
Specialistdjursjukhuset Helsingborg,Castrate Dog (20kg),Specialistdjursjukhuset Helsingborg,5835,AniCura Landskrona Smådjursklinik,4950.0,101
Specialistdjursjukhuset Helsingborg,Bitch Spay (20kg),Specialistdjursjukhuset Helsingborg,9635,AniCura Landskrona Smådjursklinik,7230.0,101
Specialistdjursjukhuset Helsingborg,Dog Vaccination DHPPI,Specialistdjursjukhuset Helsingborg,495,AniCura Landskrona Smådjursklinik,550.0,101
Specialistdjursjukhuset Helsingborg,Cat Spay,Specialistdjursjukhuset Helsingborg,2090,AniCura Landskrona Smådjursklinik,1670.0,101
Specialistdjursjukhuset Helsingborg,Cat Castrate,Specialistdjursjukhuset Helsingborg,1175,AniCura Landskrona Smådjursklinik,1000.0,101
Specialistdjursjukhuset Helsingborg,Cat Vaccination,Specialistdjursjukhuset Helsingborg,495,AniCura Landskrona Smådjursklinik,550.0,101
Specialistdjursjukhuset Helsingborg,X-Ray & Sedation (HD),Specialistdjursjukhuset Helsingborg,2295,AniCura Landskrona Smådjursklinik,1810.0,101
Specialistdjursjukhuset Helsingborg,Consultation,Specialistdjursjukhuset Helsingborg,1495,AniCura Veterinärhuset Ängelholm,0.0,101
Specialistdjursjukhuset Helsingborg,Castrate Dog (20kg),Specialistdjursjukhuset Helsingborg,5835,AniCura Veterinärhuset Ängelholm,4550.0,101
Specialistdjursjukhuset Helsingborg,Bitch Spay (20kg),Specialistdjursjukhuset Helsingborg,9635,AniCura Veterinärhuset Ängelholm,7880.0,101
Specialistdjursjukhuset Helsingborg,Dog Vaccination DHPPI,Specialistdjursjukhuset Helsingborg,495,AniCura Veterinärhuset Ängelholm,550.0,101
Specialistdjursjukhuset Helsingborg,Cat Spay,Specialistdjursjukhuset Helsingborg,2090,AniCura Veterinärhuset Ängelholm,1670.0,101
Specialistdjursjukhuset Helsingborg,Cat Castrate,Specialistdjursjukhuset Helsingborg,1175,AniCura Veterinärhuset Ängelholm,1000.0,101
Specialistdjursjukhuset Helsingborg,Cat Vaccination,Specialistdjursjukhuset Helsingborg,495,AniCura Veterinärhuset Ängelholm,550.0,101
Specialistdjursjukhuset Helsingborg,X-Ray & Sedation (HD),Specialistdjursjukhuset Helsingborg,2295,AniCura Veterinärhuset Ängelholm,2010.0,101
Specialistdjursjukhuset Helsingborg,Consultation,Specialistdjursjukhuset Helsingborg,1495,Distriktsveterinärerna Nordvästra Skåne,965.0,101
Specialistdjursjukhuset Helsingborg,Castrate Dog (20kg),Specialistdjursjukhuset Helsingborg,5835,Distriktsveterinärerna Nordvästra Skåne,4625.0,101
Specialistdjursjukhuset Helsingborg,Bitch Spay (20kg),Specialistdjursjukhuset Helsingborg,9635,Distriktsveterinärerna Nordvästra Skåne,8025.0,101
Specialistdjursjukhuset Helsingborg,Dog Vaccination DHPPI,Specialistdjursjukhuset Helsingborg,495,Distriktsveterinärerna Nordvästra Skåne,575.0,101
Specialistdjursjukhuset Helsingborg,Cat Spay,Specialistdjursjukhuset Helsingborg,2090,Distriktsveterinärerna Nordvästra Skåne,1825.0,101
Specialistdjursjukhuset Helsingborg,Cat Castrate,Specialistdjursjukhuset Helsingborg,1175,Distriktsveterinärerna Nordvästra Skåne,975.0,101
Specialistdjursjukhuset Helsingborg,Cat Vaccination,Specialistdjursjukhuset Helsingborg,495,Distriktsveterinärerna Nordvästra Skåne,575.0,101
Specialistdjursjukhuset Helsingborg,X-Ray & Sedation (HD),Specialistdjursjukhuset Helsingborg,2295,Distriktsveterinärerna Nordvästra Skåne,1995.0,101
Specialistdjursjukhuset Helsingborg,Consultation,Specialistdjursjukhuset Helsingborg,1495,Helsingborgs Veterinärklinik,820.0,101
Specialistdjursjukhuset Helsingborg,Castrate Dog (20kg),Specialistdjursjukhuset Helsingborg,5835,Helsingborgs Veterinärklinik,3700.0,101
Specialistdjursjukhuset Helsingborg,Bitch Spay (20kg),Specialistdjursjukhuset Helsingborg,9635,Helsingborgs Veterinärklinik,6700.0,101
Specialistdjursjukhuset Helsingborg,Dog Vaccination DHPPI,Specialistdjursjukhuset Helsingborg,495,Helsingborgs Veterinärklinik,470.0,101
Specialistdjursjukhuset Helsingborg,Cat Spay,Specialistdjursjukhuset Helsingborg,2090,Helsingborgs Veterinärklinik,1380.0,101
Specialistdjursjukhuset Helsingborg,Cat Castrate,Specialistdjursjukhuset Helsingborg,1175,Helsingborgs Veterinärklinik,760.0,101
Specialistdjursjukhuset Helsingborg,Cat Vaccination,Specialistdjursjukhuset Helsingborg,495,Helsingborgs Veterinärklinik,,101
Specialistdjursjukhuset Helsingborg,X-Ray & Sedation (HD),Specialistdjursjukhuset Helsingborg,2295,Helsingborgs Veterinärklinik,,101
Djursjukhuset Karlstad,Consultation,Djursjukhuset Karlstad,1495,Distriktsveterinärerna Sunne,965.0,211
Djursjukhuset Karlstad,Castrate Dog (20kg),Djursjukhuset Karlstad,5835,Distriktsveterinärerna Sunne,4625.0,211
Djursjukhuset Karlstad,Bitch Spay (20kg),Djursjukhuset Karlstad,9635,Distriktsveterinärerna Sunne,8025.0,211
Djursjukhuset Karlstad,Dog Vaccination DHPPI,Djursjukhuset Karlstad,495,Distriktsveterinärerna Sunne,575.0,211
Djursjukhuset Karlstad,Cat Spay,Djursjukhuset Karlstad,2090,Distriktsveterinärerna Sunne,1825.0,211
Djursjukhuset Karlstad,Cat Castrate,Djursjukhuset Karlstad,1175,Distriktsveterinärerna Sunne,975.0,211
Djursjukhuset Karlstad,Cat Vaccination,Djursjukhuset Karlstad,495,Distriktsveterinärerna Sunne,575.0,211
Djursjukhuset Karlstad,X-Ray & Sedation (HD),Djursjukhuset Karlstad,2295,Distriktsveterinärerna Sunne,1995.0,211
Djursjukhuset Karlstad,Consultation,Djursjukhuset Karlstad,1495,Distriktsveterinärerna Kristinehamn,965.0,211
Djursjukhuset Karlstad,Castrate Dog (20kg),Djursjukhuset Karlstad,5835,Distriktsveterinärerna Kristinehamn,4625.0,211
Djursjukhuset Karlstad,Bitch Spay (20kg),Djursjukhuset Karlstad,9635,Distriktsveterinärerna Kristinehamn,8025.0,211
Djursjukhuset Karlstad,Dog Vaccination DHPPI,Djursjukhuset Karlstad,495,Distriktsveterinärerna Kristinehamn,575.0,211
Djursjukhuset Karlstad,Cat Spay,Djursjukhuset Karlstad,2090,Distriktsveterinärerna Kristinehamn,1825.0,211
Djursjukhuset Karlstad,Cat Castrate,Djursjukhuset Karlstad,1175,Distriktsveterinärerna Kristinehamn,975.0,211
Djursjukhuset Karlstad,Cat Vaccination,Djursjukhuset Karlstad,495,Distriktsveterinärerna Kristinehamn,575.0,211
Djursjukhuset Karlstad,X-Ray & Sedation (HD),Djursjukhuset Karlstad,2295,Distriktsveterinärerna Kristinehamn,1995.0,211
Djursjukhuset Karlstad,Consultation,Djursjukhuset Karlstad,1495,Distriktsveterinärerna Säffle,965.0,211
Djursjukhuset Karlstad,Castrate Dog (20kg),Djursjukhuset Karlstad,5835,Distriktsveterinärerna Säffle,4625.0,211
Djursjukhuset Karlstad,Bitch Spay (20kg),Djursjukhuset Karlstad,9635,Distriktsveterinärerna Säffle,8025.0,211
Djursjukhuset Karlstad,Dog Vaccination DHPPI,Djursjukhuset Karlstad,495,Distriktsveterinärerna Säffle,575.0,211
Djursjukhuset Karlstad,Cat Spay,Djursjukhuset Karlstad,2090,Distriktsveterinärerna Säffle,1825.0,211
Djursjukhuset Karlstad,Cat Castrate,Djursjukhuset Karlstad,1175,Distriktsveterinärerna Säffle,975.0,211
Djursjukhuset Karlstad,Cat Vaccination,Djursjukhuset Karlstad,495,Distriktsveterinärerna Säffle,575.0,211
Djursjukhuset Karlstad,X-Ray & Sedation (HD),Djursjukhuset Karlstad,2295,Distriktsveterinärerna Säffle,1995.0,211
Djursjukhuset Karlstad,Consultation,Djursjukhuset Karlstad,1495,Solstadens smådjursklinik,910.0,211
Djursjukhuset Karlstad,Castrate Dog (20kg),Djursjukhuset Karlstad,5835,Solstadens smådjursklinik,,211
Djursjukhuset Karlstad,Bitch Spay (20kg),Djursjukhuset Karlstad,9635,Solstadens smådjursklinik,,211
Djursjukhuset Karlstad,Dog Vaccination DHPPI,Djursjukhuset Karlstad,495,Solstadens smådjursklinik,,211
Djursjukhuset Karlstad,Cat Spay,Djursjukhuset Karlstad,2090,Solstadens smådjursklinik,,211
Djursjukhuset Karlstad,Cat Castrate,Djursjukhuset Karlstad,1175,Solstadens smådjursklinik,640.0,211
Djursjukhuset Karlstad,Cat Vaccination,Djursjukhuset Karlstad,495,Solstadens smådjursklinik,,211
Djursjukhuset Karlstad,X-Ray & Sedation (HD),Djursjukhuset Karlstad,2295,Solstadens smådjursklinik,,211
Sundsvall,Consultation,Sundsvall,1495,Distriktsveterinärerna Sundsvall,965.0,8099
Sundsvall,Castrate Dog (20kg),Sundsvall,5835,Distriktsveterinärerna Sundsvall,4625.0,8099
Sundsvall,Bitch Spay (20kg),Sundsvall,9635,Distriktsveterinärerna Sundsvall,8025.0,8099
Sundsvall,Dog Vaccination DHPPI,Sundsvall,495,Distriktsveterinärerna Sundsvall,575.0,8099
Sundsvall,Cat Spay,Sundsvall,2090,Distriktsveterinärerna Sundsvall,1825.0,8099
Sundsvall,Cat Castrate,Sundsvall,1175,Distriktsveterinärerna Sundsvall,975.0,8099
Sundsvall,Cat Vaccination,Sundsvall,495,Distriktsveterinärerna Sundsvall,575.0,8099
