ID,Clinic,Cluster,City,Clinic_ID,DepartmentDescription,Group,CostCenterCode,DepartmentType,BusinessAreaManager,DepartmentManager,ChiefVeterinarian,StoreManager,ReceptionManager,StreetAddress,ZipCode,City2,NoofDaysOpen,RunDateDW,ByUser,BusinessArea
13,Staffanstorp,Landsbygd A,Staffanstorp,110,Evidensia Djurkliniken Staffanstorp,Staffanstorp,8035,Small animals,Tomas Nanasi,hakan.wulff@evidensia.se,name.lastname@evidensia.se,,,Barkvägen 20,245 34,Staffanstorp,7.0,45841.3323721875,chuan.hong@ivcevidensia.com,Syd
14,Skåne mitt,Landsbygd A,Skåne mitt,8093,Djurkliniken Skånes Mitt Evidensia,Skånes Mitt,8093,Small animals,Tomas Nanasi,name.lastname@evidensia.se,name.lastname@evidensia.se,,,N/D,N/D,N/D,,45841.3323721875,chuan.hong@ivcevidensia.com,Syd
15,Viken,Landsbygd A,Viken,115,Evidensia Vikens Smådjursklinik,Viken,8078,Small animals,Tomas Nanasi,jennie.kull@evidensia.se,name.lastname@evidensia.se,,,Björkvägen 21,263 63,Viken,3.0,45841.3323721875,chuan.hong@ivcevidensia.com,Syd
16,Höllviken,Landsbygd A,Höllviken,105,Evidensia Djurkliniken Höllviken,Höllviken,8032,Small animals,Tomas Nanasi,helena.lund@evidensia.se,Maja.Schaldemose@evidensia.se,,,Brädgårdsvägen 12,236 32,Höllviken,7.0,45841.3323721875,chuan.hong@ivcevidensia.com,Syd
17,Trelleborg,Landsbygd A,Trelleborg,102,Evidensia Djurkliniken Trelleborg,Trelleborg,8033,Small animals,Tomas Nanasi,hanna.sallius@evidensia.se,name.lastname@evidensia.se,,,Nygatan 32,231 43,Trelleborg,5.0,45841.3323721875,chuan.hong@ivcevidensia.com,Syd
18,Ystad,Landsbygd A,Ystad,103,Evidensia Djurkliniken Ystad,Ystad,8034,Small animals,Tomas Nanasi,chaterine.kolander@evidensia.se - gunilla.thorelli@evidensia.se,Chaterine.Kolander@evidensia.se,,,Dragongatan 52 C,271 39,Ystad,5.0,45841.3323721875,chuan.hong@ivcevidensia.com,Syd
19,Jönköping,Landsbygd A,Jönköping,310,Smådjurskliniken Jönköping Evidensia,Jönköping,8050,Small animals,Björn Adolfsson,tomas.bolin@evidensia.se,ulf.axelsson@evidensia.se,,,Ebba Ramsays väg 108,555 94,Jönköping,5.0,45841.3323721875,chuan.hong@ivcevidensia.com,Väst
20,Billdal,Landsbygd A,Billdal,8107,Billdals Djurklinik Evidensia,Billdal,8107,Small Animals,Björn Adolfsson,name.lastname@evidensia.se,name.lastname@evidensia.se,,,N/D,N/D,N/D,,45841.3323721875,chuan.hong@ivcevidensia.com,Väst
21,Örebro Analysen,Landsbygd A,Örebro,218,Evidensia Djurkliniken Analysen Örebro,Analysen Örebro,8051,Small animals,Caroline Bouzi,linda.wikstrom@evidensia.se,Anna.Arvill@evidensia.se,,,Radiatorvägen 7,702 27,Örebro,5.0,45841.3323721875,chuan.hong@ivcevidensia.com,Mitt
22,Norra Halland,Landsbygd A,Norra Halland,304,Evidensia Djursjukhuset Norra Halland,Norra Halland,8027,Small animals,Björn Adolfsson,nina.kaltenborn@evidensia.se,Nina.Kaltenborn@evidensia.se,,,Smörhålevägen 9,434 42,Kungsbacka,0.0,45841.3323721875,chuan.hong@ivcevidensia.com,Väst
23,Frölunda,Landsbygd A,Frölunda,301,Evidensia Djurkliniken Frölunda,Frölunda,8021,Small animals,Björn Adolfsson,marlene.mussawir@evidensia.se - jenny.thorin@evidensia.se,asa.jamten-hauer@evidensia.se,,,Torgny Segerstedtsgata 70,426 69,Västra Frölunda,5.0,45841.3323721875,chuan.hong@ivcevidensia.com,Väst
24,Kungälv,Landsbygd A,Kungälv,306,Evidensia Djurkliniken Kungälv,Kungälv,8022,Small animals,Björn Adolfsson,maria.nilsson@evidensia.se,maria.nilsson@evidensia.se,,,Utmarksvägen 20,442 39,Kungälv,5.0,45841.3323721875,chuan.hong@ivcevidensia.com,Väst
25,Kållered,Landsbygd A,Kållered,302,Evidensia Djurkliniken Kållered,Kållered,8023,Small animals,Björn Adolfsson,marie.wilderoth@evidensia.se,Per.Malmstrom@evidensia.se,,,Bangårdsvägen 27,428 36,Kållered,5.0,45841.3323721875,chuan.hong@ivcevidensia.com,Väst
26,Mölndal,Landsbygd A,Mölndal,307,Evidensia Djurkliniken Mölndal,Mölndal,8024,Small animals,Björn Adolfsson,anna.oskarsson@evidensia.se,name.lastname@evidensia.se,,,Lantbruksgatan 6,431 47,Mölndal,5.0,45841.3323721875,chuan.hong@ivcevidensia.com,Väst
27,Sävedalen,Landsbygd A,Sävedalen,8089,Sävedalens Veterinärklinik Evidensia,Sävedalen,8089,Small animals,Björn Adolfsson,name.lastname@evidensia.se,name.lastname@evidensia.se,,,Göteborgsvägen 74,433 63,Sävedalen,5.0,45841.3323721875,chuan.hong@ivcevidensia.com,Väst
28,Örgryte,Landsbygd A,Örgryte,8092,Örgryte veterinärklinik Evidensia,Örgryte,8092,Small animals,Björn Adolfsson,name.lastname@evidensia.se,name.lastname@evidensia.se,,,N/D,N/D,N/D,,45841.3323721875,chuan.hong@ivcevidensia.com,Väst
29,Ejra,Landsbygd B,Ejra,8101,Ejra Djurklinik Evidensia,Ejra,8101,Small animals,Mats Wänlund,Linnea Cederlund ,name.lastname@evidensia.se,,,N/D,N/D,N/D,,45841.3323721875,chuan.hong@ivcevidensia.com,Nord
30,Kusthöjden,Landsbygd B,Kusthöjden,8100,Kusthöjdens Djurklinik Evidensia,Kusthöjden,8100,Small animals,Mats Wänlund,Björn Sturnegk,name.lastname@evidensia.se,,,N/D,N/D,N/D,,45841.3323721875,chuan.hong@ivcevidensia.com,Nord
31,Åre,Landsbygd B,Åre,8097,Åre Djurklinik Evidensia,Åre,8097,Small animals,Mats Wänlund,Anniko Nydal,name.lastname@evidensia.se,,,N/D,N/D,N/D,,45841.3323721875,chuan.hong@ivcevidensia.com,Nord
32,Öjebyn,Landsbygd B,Öjebyn,502,Evidensia Djurkliniken Öjebyn,Öjebyn,8001,Small animals,Mats Wänlund,Ingrid Eriksson,sofie.svanberg@evidensia.se,,,Öjagatan 82,943 31,Öjebyn,5.0,45841.3323721875,chuan.hong@ivcevidensia.com,Nord
33,Kristianstad,Landsbygd B,Kristianstad,106,Evidensia Djurkliniken Kristianstad,Kristianstad,8028,Small animals,Tomas Nanasi,elina.ljunglof@evidensia.se,lena.ludtke@evidensia.se,,,Björkhemsvägen 19,291 54,Kristianstad,5.0,45841.3323721875,chuan.hong@ivcevidensia.com,Syd
34,Åhus,Landsbygd B,Åhus,108,Evidensia Djurkliniken Åhus,Åhus,8029,Small animals,Tomas Nanasi,elina.ljunglof@evidensia.se,name.lastname@evidensia.se,,,Köpmannagatan 33,296 31,Åhus,2.0,45841.3323721875,chuan.hong@ivcevidensia.com,Syd
35,Visby,Landsbygd B,Visby,114,Djurkliniken Visby Evidensia,Visby,8068,Small animals,Mats Wänlund,Sofia-Mi Heikius,name.lastname@evidensia.se,,,Endreväg 3,621 43,Visby,0.0,45841.3323721875,chuan.hong@ivcevidensia.com,Nord
36,Ulvsby,Landsbygd B,Ulvsby,8082,Ulvsby Smådjursklinik Evidensia,Ulvsby Smådjursklinik,8082,Small animals,Caroline Bouzi,fredrik@ulvsbysmadjursklinik.se,name.lastname@evidensia.se,,,Bengtsbol 608,655 93,Ulvsby,5.0,45841.3323721875,chuan.hong@ivcevidensia.com,Mitt
37,Karlskoga,Landsbygd B,Karlskoga,212,Evidensia Djurkliniken Karlskoga,Karlskoga,8017,Small animals,Caroline Bouzi,martina.cambrand@evidensia.se,magnus.andersson@evidensia.se,,,Noravägen 15,691 53,Karlskoga,6.0,45841.3323721875,chuan.hong@ivcevidensia.com,Mitt
38,Kristinehamn,Landsbygd B,Kristinehamn,505,Kristinehamns smådjursklinik Evidensia,Kristinehamn,8081,Small animals,Caroline Bouzi,martina.cambrand@evidensia.se,magnus.andersson@evidensia.se,,,Noravägen 15,691 53,Karlskoga,6.0,45841.3323721875,chuan.hong@ivcevidensia.com,Mitt
39,Säffle,Landsbygd B,Säffle,8091,Smådjursveterinären Säffle Evidensia,Säffle,8091,Small animals,Caroline Bouzi,name.lastname@evidensia.se,name.lastname@evidensia.se,,,N/D,N/D,N/D,,45841.3323721875,chuan.hong@ivcevidensia.com,Mitt
40,Åmål,Landsbygd B,Åmål,8090,Smådjursveterinären Åmål Evidensia,Åmål,8090,Small animals,Caroline Bouzi,name.lastname@evidensia.se,name.lastname@evidensia.se,,,N/D,N/D,N/D,,45841.3323721875,chuan.hong@ivcevidensia.com,Mitt
41,Lidköping,Landsbygd B,Lidköping,402,Veterinärhuset Lidköping Evidensia,Lidköping,8072,Small animals,Björn Adolfsson,anna.nilsson-grip@evidensia.se,susanne.andreasson@evidensia.se,,,Karlstorpsvägen 3,531 57,Lidköping,5.0,45841.3323721875,chuan.hong@ivcevidensia.com,Väst
42,Falkenberg,Landsbygd B,Falkenberg,8106,Falkenbergs Djurklinik Evidensia,Falkenberg,8106,Small Animals,Björn Adolfsson,name.lastname@evidensia.se,name.lastname@evidensia.se,,,N/D,N/D,N/D,,45841.3323721875,chuan.hong@ivcevidensia.com,Väst
43,Varberg,Landsbygd B,Varberg,8105,Varbergs Djurklinik Evidensia,Varberg,8105,Small Animals,Björn Adolfsson,name.lastname@evidensia.se,name.lastname@evidensia.se,,,N/D,N/D,N/D,,45841.3323721875,chuan.hong@ivcevidensia.com,Väst
44,Viskadalen,Landsbygd B,Viskadalen,8104,Viskadalens Djurklinik Evidensia,Viskadalen,8104,Small Animals,Björn Adolfsson,name.lastname@evidensia.se,name.lastname@evidensia.se,,,N/D,N/D,N/D,,45841.3323721875,chuan.hong@ivcevidensia.com,Väst
45,Uppsala,Storstad Sthlm,Uppsala,8088,Uppsala Veterinärklinik Evidensia,Uppsala,8088,Small Animals,Mats Wänlund,Charlotta von Delwig,name.lastname@evidensia.se,,,N/D,N/D,N/D,,45841.3323721875,chuan.hong@ivcevidensia.com,Nord
46,Alvik,Storstad Sthlm,Alvik,8103,Alviks Veterinärklinik Evidensia,Alvik,8103,Small animals,Mats Wänlund,Jutta Leufvenmark,name.lastname@evidensia.se,,,Vidängsvägen 1,167 63,Bromma,5.0,45841.3323721875,chuan.hong@ivcevidensia.com,Nord
47,Täby,Storstad Sthlm,Täby,12,Täby Djursjukhus Evidensia,Täby,8002,Small animals,Mats Wänlund,Sandra Fällman,therese.nygren@evidensia.se,,,Mätslingan 18,187 66,Täby,0.0,45841.3323721875,chuan.hong@ivcevidensia.com,Nord
48,Farsta,Storstad Sthlm,Farsta,8114,Farsta Djurklinik Evidensia,Farsta Ny,8114,Small animals,Mats Wänlund,N/D,N/D,,,Mårbackagatan 11A,123 43,Farsta,,45841.3323721875,chuan.hong@ivcevidensia.com,Nord
49,Lidingö,Storstad Sthlm,Lidingö,8084,Lidingö Veterinärklinik Evidensia,Lidingö,8084,Small animals,Mats Wänlund,Jeanette Öberg,name.lastname@evidensia.se,,,N/D,N/D,Lidingö,,45841.3323721875,chuan.hong@ivcevidensia.com,Nord
50,Mälarhöjden,Storstad Sthlm,Mälarhöjden,219,Mälarhöjdens veterinärpraktik Evidensia,Mälarhöjden,8052,Small animals,Mats Wänlund,Susanne Inestal,Hedvig.Armeren@evidensia.se,,,Fruängens kyrkogata 14,129 51,Hägersten,5.0,45841.3323721875,chuan.hong@ivcevidensia.com,Nord
51,Nacka,Storstad Sthlm,Nacka,217,Evidensia Djurkliniken Nacka,Nacka,8005,Small animals,Mats Wänlund,Lisa Bergvall,jennie.redander@evidensia.se,,,Planiavägen 11,131 54,Nacka,5.0,45841.3323721875,chuan.hong@ivcevidensia.com,Nord
52,Roslagstull,Storstad Sthlm,Roslagstull,9,Roslagstulls Veterinärklinik Exotic Evidensia,Roslagstull,8007,Small animals,Mats Wänlund,Madelene Karlsson,anna.nawrocka@evidensia.se,,,Valhallavägen 12 A,114 22,Stockholm,5.0,45841.3323721875,chuan.hong@ivcevidensia.com,Nord
53,Saltsjöbaden,Storstad Sthlm,Saltsjöbaden,8094,Saltsjöbadens Djurklinik Evidensia,Saltsjöbaden,8094,Small animals,Mats Wänlund,Anna Blomqvist,name.lastname@evidensia.se,,,N/D,N/D,N/D,,45841.3323721875,chuan.hong@ivcevidensia.com,Nord
54,Vasastan,Storstad Sthlm,Vasastan,8086,Vasastans Veterinärklinik Evidensia,Vasastan,8086,Small animals,Mats Wänlund,Linda Nordh,name.lastname@evidensia.se,,,Tulegatan 55,113 53,Stockholm,5.0,45841.3323721875,chuan.hong@ivcevidensia.com,Nord
55,Västerort,Storstad Sthlm,Västerort,210,Evidensia Djursjukhuset Västerort,Västerort,8011,Small animals,Mats Wänlund,Helene Kristensson,Frida.Thorsell@evidensia.se,,,Bromstensvägen 174,163 55,Spånga,6.0,45841.3323721875,chuan.hong@ivcevidensia.com,Nord
56,Åkersberga,Storstad Sthlm,Åkersberga,13,Evidensia Djurkliniken Åkersberga,Åkersberga,8009,Small animals,Mats Wänlund,Heléne Kristensson,marie.nordwall@evidensia.se,,,Hackstavägen 9,184 32,Åkersberga,5.0,45841.3323721875,chuan.hong@ivcevidensia.com,Nord
57,Järfälla,Storstad Sthlm,Järfälla,8109,Järfälla Djurklinik Evidensia,Järfälla,8109,Small Animals,Mats Wänlund,Rikard Mothander,name.lastname@evidensia.se,,,N/D,N/D,N/D,,45841.3323721875,chuan.hong@ivcevidensia.com,Nord
58,Norrtälje,Storstad Sthlm,Norrtälje,8112,Norrtälje Veterinärklinik Evidensia,Norrtälje,8112,Small Animals,Mats Wänlund,Maria Berg,name.lastname@evidensia.se,,,N/D,N/D,N/D,,45841.3323721875,chuan.hong@ivcevidensia.com,Nord
59,Tyresö,Storstad Sthlm,Tyresö,8095,Tyresö Djurklinik Evidensia,Tyresö,8095,Small animals,Mats Wänlund,Malin Dertell Flodmark,name.lastname@evidensia.se,,,N/D,N/D,N/D,,45841.3323721875,chuan.hong@ivcevidensia.com,Nord
60,Södran,Sjukhus Södran,Södran,201,Evidensia Södra Djursjukhuset Kungens Kurva,Södra,8010,Small animals,Mats Wänlund,Mats Wänlund,Sara.Granstrom@evidensia.se - sophie.gafvert@evidensia.se,,,Månskensvägen 13,141 75,Kungens Kurva,7.0,45841.3323721875,chuan.hong@ivcevidensia.com,Nord
61,Göteborg,Sjukhus A,Göteborg,305,Göteborgs Djursjukhus Evidensia,Göteborg,8026,Small animals,Björn Adolfsson,anders.jarlborg@evidensia.se,katarina.bewig@evidensia.se,,,Ingeborgsgatan 6,416 59,Göteborg,7.0,45841.3323721875,chuan.hong@ivcevidensia.com,Väst
62,Strömsholm Smådjur,Sjukhus A,Strömsholm,200,Evidensia Specialistdjursjukhuset Strömsholm,Strömsholm Smådjur,8016,Small animals,Caroline Bouzi,mia.runnerus@evidensia.se,Andre.Rowe@evidensia.se - anna.zackrisson@evidensia.se - hugo.schmokel@evidensia.se - martin.rapp@evidensia.se - nils.wallin.hakansson@evidensia.se - sivert.viskjer@evidensia.se - susanne.akerblom@evidensia.se,,,Djursjukhusvägen 11,734 94,Strömsholm,0.0,45841.3323721875,chuan.hong@ivcevidensia.com,Mitt
63,Lunds Djursjukhus,Sjukhus A,Lunds,8080,Lunds Djursjukhus Evidensia,Lund,8080,Small animals,Tomas Nanasi,jonas.baghammar@evidensia.se,name.lastname@evidensia.se,,,Porfyrvägen 6,224 78,Lund,7.0,45841.3323721875,chuan.hong@ivcevidensia.com,Syd
64,Malmö (djursjukhuset),Sjukhus A,Malmö,100,Evidensia Djursjukhuset Malmö,Malmö (Djursjukhuset),8036,Small animals,Tomas Nanasi,hakan.wulff@evidensia.se,Mia.Aronsson@evidensia.se - jessica.astermark@evidensia.se,,,Cypressvägen 11,200 39,Malmö,0.0,45841.3323721875,chuan.hong@ivcevidensia.com,Syd
65,Helsinborg Smådjur,Sjukhus A,Helsingborg Smådjur,101,Evidensia Specialistdjursjukhuset Helsingborg,Helsingborg Smådjur,8031,Small animals,Tomas Nanasi,louise.blomqvist@evidensia.se,Eva.Spodsberg@evidensia.se - ulrika.dreimanis@evidensia.se,,,Bergavägen 3,254 66,Helsingborg,0.0,45841.3323721875,chuan.hong@ivcevidensia.com,Syd
66,Karlstad,Sjukhus B,Karlstad,211,Karlstad Djursjukhus Evidensia,Karlstad,8018,Small animals,Caroline Bouzi,sara.m.olsson@evidensia.se,inger.linderoth@evidensia.se,,,Stallplatsvägen 2,654 65,Karlstad,7.0,45841.3323721875,chuan.hong@ivcevidensia.com,Mitt
67,Sundsvall (Djursjukhuse),Sjukhus B,Sundsvall,8099,Djursjukhuset Sundsvall Evidensia,Sundsvall,8099,Small animals,Mats Wänlund,Dajana Katanic,name.lastname@evidensia.se,,,N/D,N/D,N/D,,45841.3323721875,chuan.hong@ivcevidensia.com,Nord
68,Östersund,Sjukhus B,Östersund,8098,Östersunds Djursjukhus Evidensia,Östersund,8098,Small animals,Mats Wänlund,Mirja Karlsson,name.lastname@evidensia.se,,,N/D,N/D,N/D,,45841.3323721875,chuan.hong@ivcevidensia.com,Nord
69,Gammelstad,Sjukhus B,Gammelstad,504,Evidensia Djursjukhuset Gammelstad,Gammelstad,8000,Small animals,Mats Wänlund,Maria Karlsson,karin.x.sandstrom@evidensia.se,,,Företagsvägen 5,954 33,Gammelstad,0.0,45841.3323721875,chuan.hong@ivcevidensia.com,Nord
70,Sundsvall (Klinik),Sjukhus B,Sundsvall,506,Veterinärhuset Sundsvall Evidensia,Veterinärhuset Sundsvall,8065,Small animals,Mats Wänlund,Dajana Katanic,ase.fjeldstad@evidensia.se,,,Regementsvägen 9,852 38,Sundsvall,5.0,45841.3323721875,chuan.hong@ivcevidensia.com,Nord
71,Växjö,Sjukhus B,Växjö,109,Evidensia Djursjukhuset Växjö,Växjö,8030,Small animals,Björn Adolfsson,anna.hammarsten.rosander@evidensia.se,victoria.wilke@evidensia.se,,,Renvägen 2,352 45,Växjö,7.0,45841.3323721875,chuan.hong@ivcevidensia.com,Väst
72,Linköping Valla,Sjukhus B,Linköping,400,Evidensia Valla Djursjukhus Linköping,Valla,8020,Small animals,Caroline Bouzi,alexandra.asp@evidensia.se,Helene.Backman@evidensia.se - pia.astrom@evidensia.se,,,Westmansgatan 21,582 16,Linköping,7.0,45841.3323721875,chuan.hong@ivcevidensia.com,Mitt
